"","datetime","city","country","shape"
"12242",2005-01-01,"chicago","us","changing"
"14414",2012-11-25,"chicago","us","changing"
"51082",2008-05-06,"chicago","us","changing"
"69778",2013-07-04,"chicago","us","changing"
"77860",1979-08-28,"chicago","us","changing"
"81245",2009-09-11,"chicago","us","changing"
"661",1994-10-01,"chicopee","us","changing"
"11556",2003-11-18,"chillicothe","us","changing"
"21581",2004-12-21,"chillicothe","us","changing"
"41467",2009-04-16,"chillicothe","us","changing"
"2957",2013-10-18,"chilliwack (canada)","ca","changing"
"39070",1998-03-07,"chinook","us","changing"
"63964",2008-07-16,"clarkston","us","changing"
"13372",2008-11-02,"clarksville","us","changing"
"16228",2013-11-04,"clarksville","us","changing"
"41363",2004-04-16,"clarksville","us","changing"
"9102",1999-11-01,"clear lake","us","changing"
"52520",1977-06-02,"clements","us","changing"
"16587",2006-01-15,"clermont","us","changing"
"39367",2009-03-08,"clermont","us","changing"
"38551",2002-03-04,"cleveland","us","changing"
"63675",2007-07-15,"cleveland","us","changing"
"85372",2007-09-22,"cleveland","us","changing"
"35073",1995-03-15,"clinton/maroa (between)",NA,"changing"
"44583",2014-04-03,"clovis","us","changing"
"28443",2005-02-10,"coalville","us","changing"
"32821",2009-02-05,"cocoa","us","changing"
"44045",2014-04-28,"coeur d&#39alene","us","changing"
"18274",2007-01-19,"colby","us","changing"
"37296",2010-03-25,"colcord","us","changing"
"68188",2000-07-03,"colebrook","us","changing"
"74662",2004-08-17,"college fjord",NA,"changing"
"8813",2004-11-11,"college station","us","changing"
"17810",2004-11-08,"college station","us","changing"
"4791",2009-10-24,"colorado springs","us","changing"
"14103",2003-11-24,"colorado springs","us","changing"
"7511",2012-10-06,"columbia","us","changing"
"12247",2005-01-01,"columbia","us","changing"
"30538",2014-02-19,"columbia","us","changing"
"71151",2007-07-09,"columbia","us","changing"
"1306",2013-10-12,"columbus","us","changing"
"4274",2008-10-22,"columbus","us","changing"
"28660",2009-02-11,"columbus","us","changing"
"39267",1998-03-08,"columbus","us","changing"
"46845",2013-05-13,"columbus","us","changing"
"70378",2013-07-06,"columbus","us","changing"
"76404",2003-08-22,"columbus","us","changing"
"58996",1998-06-30,"commerce township",NA,"changing"
"87124",2013-09-29,"como","us","changing"
"1771",2009-10-14,"concord","us","changing"
"32755",2003-02-05,"concord","us","changing"
"19023",2006-12-11,"conrad","us","changing"
"3872",2009-10-21,"cookeville","us","changing"
"85818",2003-09-24,"cookeville","us","changing"
"4978",2006-10-25,"cooper city","us","changing"
"15223",2012-11-29,"copperas cove","us","changing"
"24507",2009-01-23,"copperas cove","us","changing"
"80408",2009-08-08,"cork (ireland)",NA,"changing"
"26395",1989-12-09,"cork (republic of ireland)",NA,"changing"
"66842",2012-07-26,"cornelius","us","changing"
"30891",2014-02-21,"cornell","us","changing"
"50450",2008-05-03,"corona del mar","us","changing"
"34148",2006-03-01,"corpus christi","us","changing"
"57149",2009-06-23,"corpus christi","us","changing"
"3468",1998-10-20,"corunna","us","changing"
"40061",1980-04-01,"costa mesa","us","changing"
"40610",2008-04-13,"costa mesa","us","changing"
"30786",2001-02-21,"cottage grove","us","changing"
"48041",2008-05-19,"cottage grove","us","changing"
"53415",2013-06-01,"cottage grove","us","changing"
"65964",2003-07-23,"cottage grove","us","changing"
"48958",2007-05-23,"cottonwood","us","changing"
"47270",2003-05-15,"council bluffs","us","changing"
"85444",2012-09-22,"coupeville","us","changing"
"61816",2003-07-01,"coventry","us","changing"
"35671",2007-03-17,"coventry (uk/england)","gb","changing"
"63929",2006-07-16,"coventry (uk/england)","gb","changing"
"63931",2006-07-16,"coventry (uk/england)","gb","changing"
"2767",1999-10-17,"covington","us","changing"
"60467",2002-06-08,"covington (on highway 64)","us","changing"
"83737",1998-09-18,"cozad","us","changing"
"52956",1995-06-01,"craig","us","changing"
"49069",2004-05-24,"crawfordville","us","changing"
"85489",2013-09-22,"crestline","us","changing"
"41650",2008-04-17,"crestview","us","changing"
"2782",2001-10-17,"crowley","us","changing"
"23918",2003-12-31,"crown point","us","changing"
"88452",2005-09-07,"crown point","us","changing"
"78725",2005-09-01,"crownpoint","us","changing"
"59630",2006-06-04,"crystal lake","us","changing"
"17893",2008-11-08,"crystal river","us","changing"
"60983",2004-07-10,"cumberland/ravensdale",NA,"changing"
"8666",2012-11-10,"cut off","us","changing"
"57297",2001-06-24,"cypress","us","changing"
"63969",2009-07-16,"cypress","us","changing"
"84034",2002-09-19,"cypress","us","changing"
"19466",2009-01-21,"dagsboro","us","changing"
"84388",2000-09-20,"dahab (sinai)",NA,"changing"
"88863",2000-09-09,"dahlonega","us","changing"
"30403",2000-02-19,"dallardsville","us","changing"
"32910",2001-02-06,"dallas","us","changing"
"45602",2006-04-09,"dallas","us","changing"
"43204",2006-04-24,"dallesport","us","changing"
"13811",2013-11-22,"damascus","us","changing"
"54014",2012-06-14,"dana point","us","changing"
"7108",1988-10-05,"daqing (china)",NA,"changing"
"37310",2012-03-25,"davenport","us","changing"
"70696",2010-07-07,"davenport","us","changing"
